timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
132490,2.6665,-9.4214,0.4835,1.2600,1.1900,1.6800,0.0431,0.0407,0.0574,0
132529,2.7527,-9.3639,0.5314,1.1900,0.9100,1.0500,0.0407,0.0311,0.0359,0
132568,2.8365,-9.2634,0.6511,1.4000,1.4700,2.5200,0.0479,0.0503,0.0862,0
132607,2.7910,-9.3328,0.6176,-1.4000,2.8700,2.8000,-0.0479,0.0981,0.0957,0
132646,2.7910,-9.3903,0.4811,-3.2900,1.9600,-17.5000,-0.1125,0.0670,-0.5984,0
132685,2.8724,-9.5099,0.6247,-2.3800,4.3400,0.4200,-0.0814,0.1484,0.0144,0
132724,2.6378,-9.4980,0.4787,-2.7300,3.7800,0.2800,-0.0934,0.1293,0.0096,0
132763,2.6306,-9.3448,0.3950,-0.7000,4.9700,-0.2800,-0.0239,0.1699,-0.0096,0
132802,2.5397,-9.3448,0.4644,-3.4300,4.8300,-0.8400,-0.1173,0.1652,-0.0287,0
132841,2.4942,-9.6703,0.5553,-3.2900,3.0800,0.3500,-0.1125,0.1053,0.0120,0
132880,2.6019,-9.4860,0.4739,-0.7700,-1.3300,-0.3500,-0.0263,-0.0455,-0.0120,0
132919,2.7718,-9.3687,0.4692,0.5600,0.1400,-1.6100,0.0191,0.0048,-0.0551,0
132958,2.7168,-9.4238,0.6989,-1.6100,2.2400,-0.9100,-0.0551,0.0766,-0.0311,0
132997,2.5540,-9.5841,0.5601,-3.5700,1.3300,-0.8400,-0.1221,0.0455,-0.0287,0
133036,2.7287,-9.4932,0.3662,-0.9800,1.8200,-2.7300,-0.0335,0.0622,-0.0934,0
133075,2.7144,-9.4214,0.4644,-1.8900,4.8300,-3.4300,-0.0646,0.1652,-0.1173,0
133114,2.6306,-9.4429,0.3614,-0.4200,0.9100,-1.3300,-0.0144,0.0311,-0.0455,0
133153,2.5660,-9.4788,0.4859,0.9800,0.8400,-2.5900,0.0335,0.0287,-0.0886,0
133192,2.7000,-9.4716,0.4428,1.7500,-1.3300,-3.3600,0.0598,-0.0455,-0.1149,0
133231,2.8484,-9.2706,0.4380,2.7300,-2.3100,-3.0800,0.0934,-0.0790,-0.1053,0
133270,2.9561,-9.2275,0.4668,2.3100,-1.4000,-1.0500,0.0790,-0.0479,-0.0359,0
133309,2.8317,-9.4190,0.5457,-0.3500,-1.1900,-0.1400,-0.0120,-0.0407,-0.0048,0
133348,2.7742,-9.4740,0.4093,0.0700,-0.3500,-1.5400,0.0024,-0.0120,-0.0527,0
133387,2.8030,-9.4214,0.5027,1.1900,-0.9800,-1.8900,0.0407,-0.0335,-0.0646,0
133426,2.7144,-9.4740,0.5051,2.3800,-1.4000,-1.4000,0.0814,-0.0479,-0.0479,0
133465,2.7503,-9.5195,0.4309,2.4500,-3.2200,-2.2400,0.0838,-0.1101,-0.0766,0
133504,2.8317,-9.3160,0.4787,3.6400,-3.3600,-3.0100,0.1245,-0.1149,-0.1029,0
133543,2.8030,-9.3232,0.5984,3.7800,-2.1700,-1.4000,0.1293,-0.0742,-0.0479,0
133582,2.8460,-9.4262,0.5649,2.8000,-3.4300,-0.4200,0.0957,-0.1173,-0.0144,0
133621,2.8867,-9.3065,0.5146,2.5200,-3.1500,-0.5600,0.0862,-0.1077,-0.0191,0
133660,2.9083,-9.3232,0.6726,2.9400,-2.6600,0.6300,0.1005,-0.0910,0.0215,0
133699,2.9107,-9.3208,0.6200,2.6600,-2.3100,1.1900,0.0910,-0.0790,0.0407,0
133738,2.8532,-9.4094,0.5721,1.1200,-0.7000,1.1200,0.0383,-0.0239,0.0383,0
133777,2.8413,-9.4262,0.6295,1.8200,-0.7700,0.5600,0.0622,-0.0263,0.0191,0
133816,2.9274,-9.3567,0.6032,2.1000,-1.1200,0.4900,0.0718,-0.0383,0.0168,0
133855,3.0208,-9.1964,0.6367,2.1000,-0.4200,0.9800,0.0718,-0.0144,0.0335,0
133894,2.9202,-9.3711,0.6343,-0.0700,0.7700,1.8200,-0.0024,0.0263,0.0622,0
