timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
81191,-9.8211,-3.4516,3.3679,-58.1700,-35.2100,-8.7500,-1.9891,-1.2040,-0.2992,0
81230,-9.2418,-4.4976,1.6468,-44.8000,-34.3700,-20.3700,-1.5319,-1.1753,-0.6965,0
81269,-8.7607,-4.1218,0.8976,-34.7200,-23.4500,-8.4700,-1.1872,-0.8019,-0.2896,0
81308,-7.6956,-3.4899,1.1202,-7.7000,-6.2300,-22.9600,-0.2633,-0.2130,-0.7851,0
81347,-7.4299,-2.5325,2.3673,-0.5600,-6.3000,8.4000,-0.0191,-0.2154,0.2872,0
81386,-9.2347,-3.5689,3.1907,8.7500,11.5500,16.1700,0.2992,0.3950,0.5529,0
81425,-8.7751,-3.4875,2.5253,23.8000,17.3600,-10.9200,0.8138,0.5936,-0.3734,0
81464,-8.4783,-3.1213,2.7958,28.0000,19.3900,-22.9600,0.9575,0.6630,-0.7851,0
81503,-8.3945,-2.9298,2.1591,32.7600,17.6400,-22.4700,1.1202,0.6032,-0.7684,0
81542,-7.8344,-3.0160,1.9532,40.4600,17.0100,-15.1200,1.3835,0.5817,-0.5170,0
81581,-9.1676,-3.0830,2.0274,43.4000,24.1500,-11.2700,1.4841,0.8258,-0.3854,0
81620,-8.7679,-2.9705,1.6755,48.9300,30.6600,-15.8900,1.6732,1.0484,-0.5434,0
81659,-9.0839,-2.9298,2.2189,50.2600,35.9100,-9.5200,1.7186,1.2279,-0.3255,0
81698,-9.3974,-3.2194,2.4583,48.2300,38.1500,-14.2800,1.6492,1.3045,-0.4883,0
81737,-8.8325,-3.4229,2.4966,42.4200,32.0600,-7.6300,1.4505,1.0963,-0.2609,0
81776,-9.0360,-2.9825,2.3170,29.7500,28.0000,-11.7600,1.0173,0.9575,-0.4021,0
81815,-8.8948,-2.8915,1.8814,30.3100,26.4600,-10.3600,1.0364,0.9048,-0.3543,0
81854,-9.0288,-3.2194,1.5630,32.5500,24.4300,3.2900,1.1130,0.8354,0.1125,0
81893,-9.0719,-2.8197,1.3189,27.4400,29.8200,6.2300,0.9383,1.0197,0.2130,0
81932,-9.1389,-2.0011,1.4242,32.1300,34.6500,4.0600,1.0987,1.1849,0.1388,0
81971,-9.9432,-2.8484,1.8886,38.2200,28.2800,12.2500,1.3069,0.9670,0.4189,0
82010,-9.6129,-3.7269,1.8575,37.1700,16.7300,23.1000,1.2710,0.5721,0.7899,0
82049,-9.4764,-3.0208,1.8886,28.9100,18.7600,17.2200,0.9886,0.6415,0.5888,0
82088,-9.7852,-2.6067,1.0077,18.2700,24.0800,9.6600,0.6247,0.8234,0.3303,0
82127,-9.7684,-2.9753,0.7013,19.5300,26.6700,14.2100,0.6678,0.9120,0.4859,0
82166,-9.5674,-3.2482,0.9144,21.5600,29.9600,17.2900,0.7372,1.0245,0.5912,0
82205,-10.1299,-3.6671,0.7636,27.7200,28.3500,14.0700,0.9479,0.9694,0.4811,0
82244,-9.8690,-3.0567,0.3423,10.2200,17.5000,-11.0600,0.3495,0.5984,-0.3782,0
82283,-9.0504,-2.2644,-0.8833,7.9100,5.4600,-25.8300,0.2705,0.1867,-0.8833,0
82322,-9.9695,-2.1399,-1.2255,12.3900,9.5200,-16.2400,0.4237,0.3255,-0.5553,0
82361,-9.2754,-2.1710,-1.4410,26.9500,14.7700,-9.1000,0.9216,0.5051,-0.3112,0
82400,-8.6626,-2.1950,-0.7708,42.9800,11.9000,-8.1200,1.4697,0.4069,-0.2777,0
82439,-9.0958,-3.3104,0.3854,46.7600,9.1000,0.7000,1.5990,0.3112,0.0239,0
82478,-9.6607,-3.0088,0.7875,41.9300,3.7800,-8.0500,1.4338,0.1293,-0.2753,0
82517,-9.5291,-3.2506,0.1077,32.3400,-8.4000,-20.9300,1.1059,-0.2872,-0.7157,0
82556,-8.9187,-2.7096,-0.4309,26.3200,-18.6200,-23.6600,0.9000,-0.6367,-0.8091,0
82595,-8.9139,-2.4511,-0.3997,30.8700,-17.9900,-16.1000,1.0556,-0.6152,-0.5505,0
82634,-8.5501,-2.8101,0.3830,29.1900,-7.2800,-0.9100,0.9981,-0.2489,-0.0311,0
82673,-9.0336,-3.5258,0.7325,28.5600,13.1600,17.5700,0.9766,0.4500,0.6008,0
82712,-9.7230,-3.4014,0.7013,30.7300,12.8100,3.5700,1.0508,0.4380,0.1221,0
82751,-9.1317,-3.2841,1.1849,30.3800,10.1500,-4.9700,1.0388,0.3471,-0.1699,0
