timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
134348,-8.3969,-1.7737,2.2931,-90.4400,-19.6000,31.0800,-3.0926,-0.6702,1.0628,0
134387,-9.1724,-1.4362,1.8048,-75.8100,-27.8600,27.6500,-2.5923,-0.9527,0.9455,0
134426,-9.4764,-1.4817,1.2375,-48.1600,-26.4600,28.1400,-1.6468,-0.9048,0.9622,0
134465,-10.0198,-2.9777,1.5607,-17.0800,-17.9200,19.8800,-0.5840,-0.6128,0.6798,0
134504,-9.6583,-3.0782,2.8173,-9.8000,-11.0600,4.1300,-0.3351,-0.3782,0.1412,0
134543,-9.5602,-3.5689,3.3822,-12.3200,-7.7000,-21.4900,-0.4213,-0.2633,-0.7348,0
134582,-8.3059,-3.1381,3.4157,-28.3500,-13.2300,-31.3600,-0.9694,-0.4524,-1.0724,0
134621,-8.0259,-2.7455,2.4750,-35.9800,-19.9500,-28.4200,-1.2303,-0.6822,-0.9718,0
134660,-8.5166,-2.4439,2.1567,-25.2700,-27.7200,-16.7300,-0.8641,-0.9479,-0.5721,0
134699,-8.8182,-3.1452,2.1950,-23.1000,-30.9400,-6.5800,-0.7899,-1.0580,-0.2250,0
134738,-9.7828,-3.6886,1.8934,-24.2900,-34.3700,-3.6400,-0.8306,-1.1753,-0.1245,0
134777,-9.1629,-2.5708,2.3362,-43.8200,-35.2100,-3.8500,-1.4984,-1.2040,-0.1317,0
134816,-9.0623,-3.8873,2.9801,-19.6700,-24.2200,0.9100,-0.6726,-0.8282,0.0311,0
134855,-9.6655,-5.0386,3.3607,-8.5400,-19.0400,6.6500,-0.2920,-0.6511,0.2274,0
134894,-11.1903,-6.5418,4.3995,-55.0200,-25.0600,21.7000,-1.8814,-0.8569,0.7420,0
134933,-7.1307,-2.8939,2.6043,-94.7800,-56.2100,-6.1600,-3.2410,-1.9221,-0.2106,0
134972,-5.1535,-3.9280,2.5085,-47.1800,-52.0800,47.1100,-1.6133,-1.7809,1.6109,0
135011,-5.6586,-5.8501,4.9860,-63.0000,-52.5700,80.5700,-2.1543,-1.7976,2.7551,0
135050,-7.2695,-5.9721,6.4461,-74.0600,-51.0300,43.1200,-2.5325,-1.7450,1.4745,0
135089,-7.3365,-5.0003,4.6197,-113.7500,-58.1700,35.9800,-3.8897,-1.9891,1.2303,0
135128,-7.1785,-4.5719,3.1716,-138.7400,-66.2900,36.5400,-4.7442,-2.2668,1.2495,0
135167,-7.5232,-5.0578,1.6516,-77.2100,-46.5500,29.2600,-2.6402,-1.5918,1.0005,0
135206,-7.1953,-3.9232,0.9886,-54.6700,-36.1200,16.7300,-1.8694,-1.2351,0.5721,0
135245,-7.6668,-5.2157,1.8886,-39.5500,-28.3500,30.5900,-1.3524,-0.9694,1.0460,0
135284,-8.8589,-7.1546,3.3990,-56.0000,-22.2600,36.5400,-1.9149,-0.7612,1.2495,0
135323,-8.1384,-5.7256,1.7737,-41.7900,-13.0200,0.2800,-1.4290,-0.4452,0.0096,0
135362,-7.3892,-4.2894,2.3386,-18.5500,7.9800,-13.0900,-0.6343,0.2729,-0.4476,0
135401,-7.0541,-5.3977,3.7772,-38.7100,-2.1700,11.4800,-1.3237,-0.0742,0.3926,0
135440,-7.2288,-5.1607,4.3421,-36.5400,-16.3100,23.7300,-1.2495,-0.5577,0.8114,0
135479,-8.1623,-4.6532,4.1697,-16.6600,-14.1400,24.9200,-0.5697,-0.4835,0.8521,0
135518,-8.5477,-4.5958,2.4080,-0.9800,1.3300,4.2000,-0.0335,0.0455,0.1436,0
135557,-7.9995,-4.0285,1.9843,-7.0000,6.7900,-8.5400,-0.2394,0.2322,-0.2920,0
135596,-7.3461,-3.5019,1.6803,0.4200,21.6300,-11.4800,0.0144,0.7396,-0.3926,0
135635,-7.0277,-3.1955,2.1208,18.6900,28.2800,8.4700,0.6391,0.9670,0.2896,0
135674,-8.4902,-4.6676,2.6498,28.2800,19.9500,24.9900,0.9670,0.6822,0.8545,0
135713,-9.2418,-5.2636,2.4391,33.5300,6.0200,28.0000,1.1466,0.2059,0.9575,0
135752,-8.4711,-4.9261,2.0513,42.5600,11.4800,2.5200,1.4553,0.3926,0.0862,0
135791,-8.8493,-5.7519,1.8527,44.8000,16.5200,0.2100,1.5319,0.5649,0.0072,0
135830,-8.1815,-4.3349,1.4218,52.0800,17.5000,-2.2400,1.7809,0.5984,-0.0766,0
135869,-9.4118,-3.7245,1.0580,33.5300,20.3700,-9.8000,1.1466,0.6965,-0.3351,0
135908,-11.4655,-4.2679,1.0891,44.8000,24.0800,-9.9400,1.5319,0.8234,-0.3399,0
135947,-9.2395,-4.4594,1.2662,57.8200,32.0600,-21.9100,1.9771,1.0963,-0.7492,0
