timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
283172,-9.5147,-2.7096,1.4793,-31.5700,3.5000,3.7100,-1.0795,0.1197,0.1269,0
283211,-9.2347,-1.2830,0.0024,-66.8500,-6.5800,-12.1100,-2.2859,-0.2250,-0.4141,0
283250,-9.8259,-0.8114,0.2537,-65.5900,-0.3500,-23.5900,-2.2428,-0.0120,-0.8067,0
283289,-9.7086,-1.9245,0.2633,-4.9700,0.9800,-21.2800,-0.1699,0.0335,-0.7277,0
283328,-9.3017,-2.5875,0.6583,-2.5200,5.3900,-18.3400,-0.0862,0.1843,-0.6271,0
283367,-8.6315,-3.0686,0.7253,-6.9300,4.4100,-16.0300,-0.2370,0.1508,-0.5481,0
283406,-8.3801,-2.8843,0.7301,-13.0200,10.2900,-18.2700,-0.4452,0.3519,-0.6247,0
283445,-9.2514,-4.2176,0.7636,-23.2400,6.5800,-10.9200,-0.7947,0.2250,-0.3734,0
283484,-8.8158,-3.7556,0.2968,-29.0500,-15.7500,-15.4000,-0.9934,-0.5386,-0.5266,0
283523,-7.9086,-2.7168,0.3160,-16.4500,-16.9400,-24.5700,-0.5625,-0.5793,-0.8402,0
283562,-7.9780,-3.1213,0.9024,0.9800,-5.6700,5.0400,0.0335,-0.1939,0.1723,0
283601,-9.9025,-4.1961,1.2232,7.7000,-11.0600,50.8200,0.2633,-0.3782,1.7378,0
283640,-12.8586,-5.0027,0.5481,-45.0800,-48.3700,62.8600,-1.5415,-1.6540,2.1495,0
283679,-11.1735,-4.0644,-0.7301,-15.6100,-52.6400,10.2900,-0.5338,-1.8000,0.3519,0
283718,-7.6908,-3.6862,0.9742,18.3400,-36.2600,-31.0800,0.6271,-1.2399,-1.0628,0
283757,-7.0876,-5.7232,3.2171,8.6100,-58.7300,-24.2900,0.2944,-2.0083,-0.8306,0
283796,-8.0498,-5.8357,1.1346,-23.3800,-103.1100,-27.3700,-0.7995,-3.5258,-0.9359,0
283835,-8.5022,-4.6724,3.1261,-111.7200,-80.2900,0.3500,-3.8202,-2.7455,0.0120,0
283874,-7.5854,-2.8939,1.5942,-81.7600,-61.8800,19.3900,-2.7958,-2.1160,0.6630,0
283913,-6.7381,-5.5820,3.3152,-70.4900,-44.2400,1.8900,-2.4104,-1.5128,0.0646,0
283952,-7.9900,-5.1966,2.9107,-50.4000,-40.8800,14.0000,-1.7234,-1.3979,0.4787,0
283991,-7.9253,-5.2732,2.8843,-78.6800,-40.9500,14.0700,-2.6905,-1.4003,0.4811,0
284030,-7.8104,-4.5168,2.7670,-61.6000,-37.6600,1.5400,-2.1064,-1.2878,0.0527,0
284069,-8.3514,-4.1961,2.6665,-18.5500,-56.7700,19.3900,-0.6343,-1.9412,0.6630,0
284108,-7.0732,-5.2301,3.8202,-29.9600,-18.2000,17.8500,-1.0245,-0.6223,0.6104,0
284147,-6.9966,-4.7346,3.7101,0.7700,-12.1100,15.4000,0.0263,-0.4141,0.5266,0
284186,-7.5471,-4.9812,2.9944,-15.9600,-4.1300,23.3800,-0.5457,-0.1412,0.7995,0
284225,-7.9972,-4.7418,3.5474,0.6300,4.9700,20.0900,0.0215,0.1699,0.6870,0
284264,-7.8847,-4.5575,3.2386,2.6600,14.9800,7.6300,0.0910,0.5122,0.2609,0
284303,-7.9756,-4.2439,3.4229,-14.0000,32.4100,-1.0500,-0.4787,1.1083,-0.0359,0
284342,-8.2006,-4.5144,2.8676,12.5300,29.5400,-0.7000,0.4285,1.0101,-0.0239,0
