timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
366944,-9.8690,-0.9670,0.7684,-29.8900,30.1700,11.6200,-1.0221,1.0317,0.3973,0
366983,-9.6655,-0.4045,0.1987,-28.5600,9.4500,-47.8800,-0.9766,0.3231,-1.6372,0
367022,-9.1078,-0.8976,0.3758,12.1800,26.2500,-33.8800,0.4165,0.8976,-1.1585,0
367061,-9.4238,-1.7976,1.4362,5.2500,29.1900,-17.9900,0.1795,0.9981,-0.6152,0
367100,-9.5650,-1.9269,1.0245,-0.8400,-7.6300,-11.6900,-0.0287,-0.2609,-0.3997,0
367139,-9.6559,-1.7210,-0.1077,-23.3100,-28.2100,-12.8800,-0.7971,-0.9646,-0.4404,0
367178,-9.9551,-0.9981,0.0479,-19.5300,-21.1400,-6.1600,-0.6678,-0.7229,-0.2106,0
367217,-11.4105,-2.7862,0.5769,42.3500,-19.0400,-13.1600,1.4482,-0.6511,-0.4500,0
367256,-13.5528,-5.8094,1.4314,-9.8000,-27.1600,37.2400,-0.3351,-0.9287,1.2734,0
367295,-9.3280,-2.2596,0.7396,-21.1400,-56.9800,-21.7000,-0.7229,-1.9484,-0.7420,0
367334,-5.4814,-3.3702,1.6013,-11.1300,-48.3000,-40.7400,-0.3806,-1.6516,-1.3931,0
367373,-6.9463,-5.9650,2.9825,12.6000,-35.2100,-42.5600,0.4309,-1.2040,-1.4553,0
367412,-9.5913,-3.1644,1.5966,-27.0900,-78.4700,-72.6600,-0.9263,-2.6833,-2.4846,0
367451,-9.0910,-5.3091,2.8460,-23.0300,-49.7000,16.5900,-0.7875,-1.6995,0.5673,0
367490,-8.2772,-4.0788,3.5857,-83.0200,-56.4900,29.2600,-2.8389,-1.9317,1.0005,0
367529,-7.7913,-3.6048,2.8891,-17.2900,-17.2900,-3.9200,-0.5912,-0.5912,-0.1340,0
367568,-7.5232,-4.0165,2.1351,-25.8300,-23.8000,-5.9500,-0.8833,-0.8138,-0.2035,0
367607,-7.0852,-4.5862,3.4612,-22.0500,-16.0300,10.9900,-0.7540,-0.5481,0.3758,0
