timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
480005,-8.5836,-4.0189,1.9436,47.4600,35.1400,-18.4100,1.6229,1.2016,-0.6295,0
480044,-10.4004,-3.5569,2.5612,45.4300,46.6900,-6.5800,1.5535,1.5966,-0.2250,0
480083,-10.1227,-3.7843,3.0782,56.2100,40.8100,-10.1500,1.9221,1.3955,-0.3471,0
480122,-8.6626,-3.6647,2.6545,131.6000,16.8000,-35.1400,4.5000,0.5745,-1.2016,0
480161,-8.0618,-4.9070,2.4319,43.1200,-20.1600,-15.8900,1.4745,-0.6894,-0.5434,0
480200,-7.9995,-3.6312,2.3314,25.2000,2.9400,-16.3800,0.8617,0.1005,-0.5601,0
480239,-8.5238,-3.3272,3.1740,43.0500,11.8300,-12.3900,1.4721,0.4045,-0.4237,0
480278,-8.8636,-3.4468,2.4391,42.2800,-0.9800,-0.7700,1.4458,-0.0335,-0.0263,0
480317,-8.9019,-3.3367,2.0154,26.6700,9.5900,7.3500,0.9120,0.3279,0.2513,0
480356,-9.1078,-3.7293,1.7617,26.5300,33.6000,0.6300,0.9072,1.1489,0.0215,0
480395,-8.4184,-3.0327,1.5247,28.9800,50.5400,-20.3700,0.9910,1.7282,-0.6965,0
480434,-8.0043,-3.6766,2.0705,45.6400,65.7300,-22.7500,1.5607,2.2476,-0.7779,0
480473,-8.9642,-2.5971,0.9766,5.9500,62.7200,-11.7600,0.2035,2.1447,-0.4021,0
480512,-8.7631,-3.6192,1.3452,82.6000,66.7100,-8.6100,2.8245,2.2811,-0.2944,0
480551,-8.5764,-3.6886,1.2902,42.2800,49.7700,12.9500,1.4458,1.7019,0.4428,0
480590,-8.5573,-3.4205,0.3686,61.3900,20.3700,-1.6800,2.0992,0.6965,-0.0574,0
480629,-8.6482,-3.2769,-0.0646,57.8200,56.4200,27.6500,1.9771,1.9293,0.9455,0
480668,-9.1102,-2.2931,-0.5362,23.7300,59.4300,72.8000,0.8114,2.0322,2.4894,0
480707,-9.4932,-2.8795,0.7875,69.3700,53.2700,93.7300,2.3721,1.8216,3.2051,0
480746,-8.4950,-5.4503,1.4122,30.1700,5.8800,64.6800,1.0317,0.2011,2.2117,0
480785,-10.8839,-2.6593,-0.5505,-15.0500,-40.1100,10.5700,-0.5146,-1.3716,0.3614,0
480824,-11.6929,-3.0663,-0.8091,-3.7100,-56.0000,1.0500,-0.1269,-1.9149,0.0359,0
480863,-9.4573,-1.1466,-1.8407,-18.0600,10.9200,-4.0600,-0.6176,0.3734,-0.1388,0
480902,-9.7637,-1.0364,-0.7731,-9.6600,88.4100,32.6900,-0.3303,3.0232,1.1178,0
480941,-10.1993,-1.6372,0.4332,13.7900,51.0300,38.7100,0.4715,1.7450,1.3237,0
480980,-9.0384,-1.0412,-0.1005,4.4800,-4.2000,-55.5800,0.1532,-0.1436,-1.9006,0
481019,-9.4764,-1.2184,0.5314,-33.4600,20.7900,-75.3200,-1.1442,0.7109,-2.5756,0
481058,-10.5368,0.8761,-0.6965,-65.1700,23.8700,-61.8800,-2.2285,0.8162,-2.1160,0
