timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
549581,-4.3373,-8.1599,-1.5104,4.4100,17.9900,6.1600,0.1508,0.6152,0.2106,0
549620,-4.7849,-8.3107,-1.3213,1.2600,22.4700,7.6300,0.0431,0.7684,0.2609,0
549659,-4.9405,-8.7918,-1.3859,0.4200,17.2200,9.1700,0.0144,0.5888,0.3136,0
549698,-4.6891,-8.6674,-1.4075,4.9700,11.5500,8.8200,0.1699,0.3950,0.3016,0
549737,-4.3445,-9.2347,-1.1825,8.0500,9.1000,8.7500,0.2753,0.3112,0.2992,0
549776,-3.5785,-8.8254,-0.7827,11.2700,8.4000,7.2100,0.3854,0.2872,0.2465,0
549815,-3.8633,-9.1030,-0.9335,9.8000,19.1800,9.3800,0.3351,0.6559,0.3207,0
549854,-4.0381,-9.3089,-1.0604,23.5900,26.6700,12.6700,0.8067,0.9120,0.4332,0
549893,-4.4091,-9.0288,-0.3303,25.2700,26.7400,13.9300,0.8641,0.9144,0.4763,0
549932,-4.8974,-9.1820,-0.3136,21.7000,24.8500,13.7900,0.7420,0.8497,0.4715,0
549971,-4.9141,-8.6099,-0.4045,26.7400,23.6600,10.5000,0.9144,0.8091,0.3590,0
550010,-4.7203,-9.1629,-0.1843,33.3900,24.4300,6.0900,1.1418,0.8354,0.2082,0
550049,-4.7274,-8.3514,-0.2944,38.4300,23.8000,4.9700,1.3141,0.8138,0.1699,0
550088,-5.2373,-8.2030,-0.6391,35.2100,26.8800,-0.0700,1.2040,0.9192,-0.0024,0
550127,-5.3306,-7.3174,-0.1819,35.0700,26.7400,-0.3500,1.1992,0.9144,-0.0120,0
550166,-5.5485,-7.7865,0.0766,29.1200,26.3900,1.8200,0.9958,0.9024,0.0622,0
550205,-5.3713,-8.2030,-0.0862,21.9100,23.5200,5.1100,0.7492,0.8043,0.1747,0
550244,-5.4743,-7.6620,-0.3423,18.1300,22.7500,5.1800,0.6200,0.7779,0.1771,0
550283,-6.3192,-7.4179,0.0072,12.3200,22.9600,3.2200,0.4213,0.7851,0.1101,0
550322,-6.1660,-7.9134,0.1867,12.5300,17.7100,0.5600,0.4285,0.6056,0.0191,0
550361,-5.7495,-7.9660,-0.0838,16.7300,12.6700,1.6100,0.5721,0.4332,0.0551,0
550400,-5.1870,-7.8918,0.0479,17.6400,9.3800,5.1800,0.6032,0.3207,0.1771,0
550439,-5.0769,-7.9565,0.4428,17.0100,15.4700,2.2400,0.5817,0.5290,0.0766,0
550478,-4.8399,-8.0163,0.3997,15.5400,16.5200,-3.9200,0.5314,0.5649,-0.1340,0
550517,-4.5934,-8.0259,0.5146,14.9800,22.0500,-6.7200,0.5122,0.7540,-0.2298,0
550556,-4.7921,-7.8535,0.6271,9.8000,27.6500,-7.7700,0.3351,0.9455,-0.2657,0
550595,-5.0482,-7.8703,0.2106,4.8300,35.5600,-3.2900,0.1652,1.2160,-0.1125,0
550634,-5.1080,-8.1432,0.7588,2.2400,40.9500,-1.4000,0.0766,1.4003,-0.0479,0
550673,-5.3785,-8.5884,1.0771,1.4000,37.5900,-2.3800,0.0479,1.2854,-0.0814,0
550712,-5.3282,-9.0336,0.3471,15.1900,31.5700,-7.9800,0.5194,1.0795,-0.2729,0
550751,-5.3953,-8.3370,0.1412,14.0000,19.2500,-15.4000,0.4787,0.6583,-0.5266,0
550790,-5.1439,-7.9852,0.1843,16.3800,5.5300,-13.8600,0.5601,0.1891,-0.4739,0
550829,-4.9572,-8.0594,0.1628,9.7300,5.9500,-13.6500,0.3327,0.2035,-0.4668,0
550868,-4.2726,-8.7655,0.6511,2.3100,6.6500,-8.3300,0.0790,0.2274,-0.2848,0
550907,-4.8232,-10.8958,0.5577,16.6600,-19.4600,-6.1600,0.5697,-0.6654,-0.2106,0
550946,-4.8902,-9.3208,-0.2130,31.8500,-22.6800,-23.0300,1.0891,-0.7755,-0.7875,0
550985,-4.4665,-7.8799,0.0718,3.8500,-32.0600,-16.6600,0.1317,-1.0963,-0.5697,0
551024,-4.5599,-7.8200,-0.4045,-37.3100,-26.5300,-8.0500,-1.2758,-0.9072,-0.2753,0
551063,-4.5671,-8.7655,-1.0221,-53.6200,-11.4800,-8.1200,-1.8335,-0.3926,-0.2777,0
551102,-4.0046,-8.7368,-1.8168,-29.3300,-4.3400,-15.5400,-1.0029,-0.1484,-0.5314,0
551141,-3.5019,-8.7488,-2.0896,-17.9900,-3.0100,-10.7100,-0.6152,-0.1029,-0.3662,0
551180,-3.8274,-8.3706,-1.6229,-20.5800,7.9800,0.9800,-0.7037,0.2729,0.0335,0
551219,-4.4953,-8.9546,-1.3333,-17.4300,20.3000,14.1400,-0.5960,0.6942,0.4835,0
551258,-4.7753,-8.6650,-1.2662,-4.6900,17.3600,12.5300,-0.1604,0.5936,0.4285,0
551297,-4.3014,-8.9738,-0.9958,-1.4700,13.0200,6.8600,-0.0503,0.4452,0.2346,0
551336,-4.1051,-8.8254,-1.4338,0.1400,4.3400,2.1700,0.0048,0.1484,0.0742,0
551375,-4.3253,-8.8014,-0.9886,-0.9100,-6.2300,7.2800,-0.0311,-0.2130,0.2489,0
551414,-4.6987,-8.6865,-0.9120,5.1100,-13.8600,8.2600,0.1747,-0.4739,0.2824,0
551453,-5.1511,-8.4519,-0.3447,7.0000,-27.7200,9.6600,0.2394,-0.9479,0.3303,0
551492,-4.6652,-8.9929,-0.2489,-9.1700,-45.3600,6.9300,-0.3136,-1.5511,0.2370,0
