timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
788261,-6.8051,-4.1051,-5.5532,-3.9900,-48.1600,-51.3800,-0.1364,-1.6468,-1.7569,0
788300,-6.7955,-4.3708,-4.1434,2.9400,-37.3800,-51.3100,0.1005,-1.2782,-1.7545,0
788339,-7.3174,-4.2248,-3.3870,6.7900,-37.3800,-64.6100,0.2322,-1.2782,-2.2093,0
788378,-7.7386,-4.5695,-3.3607,7.7700,-31.9200,-72.1700,0.2657,-1.0915,-2.4678,0
788417,-8.9498,-6.3886,-4.7681,0.4900,-50.0500,-54.2500,0.0168,-1.7115,-1.8551,0
788456,-7.7889,-6.3575,-3.9232,-32.6200,-54.6000,-28.2800,-1.1154,-1.8670,-0.9670,0
788495,-5.7591,-6.0152,-2.4942,-81.7600,-49.6300,2.8700,-2.7958,-1.6971,0.0981,0
788534,-6.1181,-4.9979,-1.7019,-88.6200,-57.6100,37.1700,-3.0303,-1.9700,1.2710,0
788573,-8.9857,-8.4472,-1.6636,-69.5800,-66.5000,58.2400,-2.3793,-2.2740,1.9915,0
788612,-8.5597,-5.5580,-1.2351,-93.5900,-80.0100,-23.0300,-3.2003,-2.7359,-0.7875,0
788651,-7.8918,-3.8801,-1.5319,-120.2600,-96.3900,-52.9900,-4.1123,-3.2960,-1.8120,0
788690,-8.6698,-4.8471,-2.4726,-110.6000,-118.1600,-46.9700,-3.7820,-4.0405,-1.6061,0
788729,-7.3700,-4.7274,-3.4588,-78.5400,-108.2200,-39.0600,-2.6857,-3.7006,-1.3357,0
788768,-6.7716,-5.1200,-4.3421,-87.5700,-80.5700,-12.9500,-2.9944,-2.7551,-0.4428,0
788807,-7.0756,-4.6891,-3.7173,-92.7500,-65.4500,1.3300,-3.1716,-2.2381,0.0455,0
788846,-7.8416,-3.8681,-3.1237,-83.3000,-57.8900,-1.7500,-2.8484,-1.9795,-0.0598,0
788885,-8.1408,-3.5857,-2.9538,-81.9700,-56.4200,-11.0600,-2.8030,-1.9293,-0.3782,0
788924,-8.0594,-3.1285,-2.9202,-82.1800,-47.8100,-24.9200,-2.8101,-1.6349,-0.8521,0
788963,-7.7602,-3.6742,-3.0734,-79.0300,-40.1800,-25.4100,-2.7024,-1.3739,-0.8689,0
789002,-7.4155,-4.6556,-3.1333,-60.8300,-24.1500,-15.8900,-2.0801,-0.8258,-0.5434,0
789041,-9.2251,-4.0046,-3.7030,-44.5200,-14.0700,8.3300,-1.5224,-0.4811,0.2848,0
789080,-8.1743,-3.1069,-2.6641,-49.4900,-15.4700,9.3100,-1.6923,-0.5290,0.3184,0
