timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
857213,-6.8937,-6.7022,-3.9351,51.1000,17.9900,18.4100,1.7474,0.6152,0.6295,0
857252,-7.6142,-6.5658,-3.1309,57.0500,27.6500,9.5200,1.9508,0.9455,0.3255,0
857291,-8.4424,-6.9057,-2.6569,52.8500,34.2300,12.9500,1.8072,1.1705,0.4428,0
857330,-9.0719,-7.1307,-1.8886,49.9100,42.4200,0.2100,1.7067,1.4505,0.0072,0
857369,-7.9636,-5.0721,-1.9652,48.9300,36.3300,-16.3800,1.6732,1.2423,-0.5601,0
857408,-7.2168,-5.4336,-1.6420,56.4200,30.0300,-15.6800,1.9293,1.0269,-0.5362,0
857447,-6.8841,-5.5485,-2.2572,62.3700,32.6200,-3.0100,2.1327,1.1154,-0.1029,0
857486,-7.5735,-4.8711,-1.7689,65.3100,35.9100,8.5400,2.2333,1.2279,0.2920,0
857525,-7.7578,-5.0889,-1.1825,58.1700,37.8700,13.4400,1.9891,1.2950,0.4596,0
857564,-7.6692,-5.9673,-1.9580,50.9600,39.5500,11.4800,1.7426,1.3524,0.3926,0
857603,-7.2120,-5.9961,-2.2596,56.7000,42.9800,4.2700,1.9388,1.4697,0.1460,0
857642,-6.8937,-5.5939,-1.8359,61.3200,54.0400,12.8800,2.0968,1.8479,0.4404,0
857681,-7.7123,-5.7830,-1.1442,54.5300,61.2500,13.3700,1.8646,2.0944,0.4572,0
857720,-7.4107,-6.4724,-1.0891,53.1300,57.6100,13.0200,1.8168,1.9700,0.4452,0
857759,-6.8314,-6.5107,-1.4458,56.2800,58.7300,10.2900,1.9245,2.0083,0.3519,0
857798,-7.4777,-6.2977,-1.1609,57.1900,61.9500,8.8900,1.9556,2.1184,0.3040,0
857837,-8.0857,-5.7615,-0.5194,52.9900,63.9100,7.1400,1.8120,2.1854,0.2442,0
857876,-7.5041,-7.0062,0.8665,33.1800,58.7300,14.6300,1.1346,2.0083,0.5003,0
857915,-8.4041,-8.1336,-0.4524,14.9100,41.3700,14.0000,0.5098,1.4146,0.4787,0
857954,-6.9583,-5.0338,-2.4535,64.6800,52.0800,12.8100,2.2117,1.7809,0.4380,0
857993,-5.1679,-4.7538,-2.6426,65.7300,57.4700,14.3500,2.2476,1.9652,0.4907,0
858032,-6.8075,-3.0495,-3.7652,46.4800,60.6200,13.0900,1.5894,2.0729,0.4476,0
858071,-8.5908,-5.3426,-4.8399,48.6500,57.1200,18.0600,1.6636,1.9532,0.6176,0
858110,-8.3873,-5.5820,-5.1631,32.4100,56.9100,8.8900,1.1083,1.9460,0.3040,0
858149,-9.2371,-5.8812,-4.2320,25.0600,63.9100,13.6500,0.8569,2.1854,0.4668,0
858188,-9.7924,-6.0128,-3.0639,21.7700,63.7700,-11.8300,0.7444,2.1806,-0.4045,0
858227,-8.4232,-6.8410,-2.6498,5.7400,40.8100,-24.1500,0.1963,1.3955,-0.8258,0
858266,-6.8362,-6.5227,-3.6647,6.7200,27.7900,-32.4800,0.2298,0.9503,-1.1106,0
858305,-6.3312,-6.0798,-3.7700,28.9800,33.2500,-23.3100,0.9910,1.1370,-0.7971,0
858344,-6.4916,-4.2008,-2.4295,52.7100,35.3500,-18.1300,1.8024,1.2088,-0.6200,0
858383,-7.1737,-3.5091,-0.1053,63.0000,20.3000,-3.9900,2.1543,0.6942,-0.1364,0
858422,-5.5628,-4.5838,-1.0508,71.6100,-5.8100,8.0500,2.4487,-0.1987,0.2753,0
858461,-3.0256,-4.0812,-2.8580,56.3500,-16.6600,34.6500,1.9269,-0.5697,1.1849,0
858500,-4.4953,-7.1905,-1.5894,-10.1500,-2.0300,111.5800,-0.3471,-0.0694,3.8155,0
858539,-10.0317,-8.6171,-2.8772,-41.1600,-26.8800,83.5800,-1.4075,-0.9192,2.8580,0
858578,-11.3482,-9.4070,-4.0955,-47.8100,-28.3500,56.7000,-1.6349,-0.9694,1.9388,0
858617,-10.9294,-7.0086,-2.7910,-18.3400,-8.8900,15.6100,-0.6271,-0.3040,0.5338,0
858656,-11.0490,-5.9195,-1.3907,-17.4300,-17.0800,-4.9700,-0.5960,-0.5840,-0.1699,0
858695,-8.8301,-4.8471,-0.3973,-16.7300,-27.0200,-44.3800,-0.5721,-0.9239,-1.5176,0
858734,-6.0535,-2.9585,0.1795,-20.7900,-21.9800,-56.4900,-0.7109,-0.7516,-1.9317,0
858773,-3.0016,-3.5115,-1.6253,-40.8800,-10.7100,-45.8500,-1.3979,-0.3662,-1.5678,0
858812,-2.2668,-2.6067,-4.7298,-100.2400,-43.1900,-20.3700,-3.4277,-1.4769,-0.6965,0
858851,-3.8418,-6.6854,-5.2756,-36.2600,-49.0700,14.9800,-1.2399,-1.6779,0.5122,0
858890,-5.5030,-7.2958,-5.8118,7.0000,-70.7700,74.0600,0.2394,-2.4200,2.5325,0
858929,-9.4405,-10.2903,-8.0857,26.6000,11.6200,-28.2100,0.9096,0.3973,-0.9646,0
858968,-13.1339,-8.9618,-3.7484,-17.4300,20.1600,5.7400,-0.5960,0.6894,0.1963,0
859007,-11.5852,-6.3431,-3.4971,-6.7900,12.2500,-71.0500,-0.2322,0.4189,-2.4295,0
859046,-11.0347,-6.5945,-1.1825,-29.9600,-10.6400,-62.3700,-1.0245,-0.3638,-2.1327,0
859085,-8.8924,-4.8926,-2.4056,-37.5200,-46.9700,-86.1700,-1.2830,-1.6061,-2.9466,0
859124,-5.4072,-3.1548,-4.5264,-41.6500,-38.6400,-103.4600,-1.4242,-1.3213,-3.5378,0
859163,-3.4612,-3.2147,-4.8088,-29.7500,-20.1600,-54.8100,-1.0173,-0.6894,-1.8742,0
859202,-0.5577,-1.3859,-4.1242,18.2000,-17.5000,-33.8800,0.6223,-0.5984,-1.1585,0
859241,1.3404,-0.1101,-2.4894,53.1300,0.2800,4.3400,1.8168,0.0096,0.1484,0
859280,0.3375,-2.5301,0.7827,41.6500,16.6600,125.9300,1.4242,0.5697,4.3062,0
859319,-21.7845,-18.8044,0.7205,-77.2800,11.9700,275.6600,-2.6426,0.4093,9.4262,0
859358,-9.9695,-7.2360,-5.5485,-40.3200,-1.6800,-35.9800,-1.3787,-0.0574,-1.2303,0
859397,-10.6661,-10.1802,-4.1147,-10.1500,3.7100,-5.2500,-0.3471,0.1269,-0.1795,0
859436,-8.4519,-6.6136,-2.2309,12.8100,2.1000,-9.8700,0.4380,0.0718,-0.3375,0
859475,-7.6836,-3.9016,-2.5037,26.6000,15.9600,-9.3100,0.9096,0.5457,-0.3184,0
859514,-8.1456,-4.5024,0.2035,17.1500,30.3800,-18.9700,0.5864,1.0388,-0.6487,0
859553,-6.2594,-4.4761,0.2848,1.2600,18.9700,-42.2800,0.0431,0.6487,-1.4458,0
859592,-2.9394,-4.4067,-0.7779,0.0000,29.8900,-26.3200,0.0000,1.0221,-0.9000,0
859631,-4.2511,-5.5724,-2.1854,4.7600,38.2200,14.6300,0.1628,1.3069,0.5003,0
859670,-3.9280,-5.2828,-3.0926,18.9000,10.2200,15.9600,0.6463,0.3495,0.5457,0
859709,-6.3623,-8.5836,-5.7471,31.2200,1.6100,21.7700,1.0676,0.0551,0.7444,0
