timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
931430,-9.2969,-3.7437,-2.5420,42.3500,13.3700,4.8300,1.4482,0.4572,0.1652,0
931469,-9.1844,-2.9155,-2.2955,43.8200,19.1800,4.5500,1.4984,0.6559,0.1556,0
931508,-9.6583,-3.0591,-1.2471,66.4300,32.7600,-15.1200,2.2716,1.1202,-0.5170,0
931547,-9.3496,-3.0830,-1.2375,52.2900,21.4900,-16.3100,1.7880,0.7348,-0.5577,0
931586,-9.8642,-2.8843,0.2489,42.3500,12.6700,-8.9600,1.4482,0.4332,-0.3064,0
931625,-8.9474,-2.9633,0.3973,57.3300,1.2600,-21.4200,1.9604,0.0431,-0.7325,0
931664,-8.5309,-3.4899,1.6349,60.0600,-0.6300,-0.9100,2.0537,-0.0215,-0.0311,0
931703,-9.5291,-3.1859,0.2585,68.0400,-19.3200,12.4600,2.3266,-0.6606,0.4261,0
931742,-9.4214,-3.0040,0.6702,112.0000,4.0600,-7.1400,3.8298,0.1388,-0.2442,0
931781,-9.5554,-4.0117,0.6439,93.6600,32.6200,-16.3800,3.2027,1.1154,-0.5601,0
931820,-8.7344,-4.0692,-0.2082,32.7600,37.7300,-11.0600,1.1202,1.2902,-0.3782,0
931859,-7.5902,-3.7843,-0.6798,81.3400,37.5200,-52.0800,2.7814,1.2830,-1.7809,0
931898,-7.3078,-3.8131,-0.4093,93.9400,34.3000,-53.8300,3.2123,1.1729,-1.8407,0
931937,-7.2360,-4.2056,0.0670,79.2400,42.6300,-39.2700,2.7096,1.4577,-1.3428,0
931976,-7.7027,-5.2181,1.6085,40.5300,77.3500,-45.0800,1.3859,2.6450,-1.5415,0
932015,-7.0804,-5.7735,0.3375,12.4600,71.9600,-14.3500,0.4261,2.4607,-0.4907,0
932054,-7.5998,-6.2881,-0.0670,28.1400,33.3900,12.1100,0.9622,1.1418,0.4141,0
932093,-8.8014,-6.7764,0.6583,40.4600,28.5600,23.1000,1.3835,0.9766,0.7899,0
932132,-11.1807,-7.3485,2.0466,60.2000,36.0500,2.8000,2.0585,1.2327,0.0957,0
932171,-15.8076,-3.4349,-4.7011,-42.9100,-68.6000,71.7500,-1.4673,-2.3458,2.4535,0
932210,-4.6891,-0.6463,1.6468,87.7100,7.0000,-9.5900,2.9992,0.2394,-0.3279,0
932249,-10.9509,-2.3242,-0.8067,3.8500,10.6400,30.9400,0.1317,0.3638,1.0580,0
932288,-12.4661,-1.7402,-1.8742,37.7300,-17.1500,16.0300,1.2902,-0.5864,0.5481,0
932327,-9.6799,-2.3721,-3.7532,50.0500,-36.2600,4.3400,1.7115,-1.2399,0.1484,0
932366,-7.9445,0.4883,-3.2266,41.5800,-54.1100,2.1700,1.4218,-1.8503,0.0742,0
932405,-8.9307,-1.5990,-0.2489,90.9300,53.2700,-43.4000,3.1093,1.8216,-1.4841,0
