timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
1307393,-7.4682,-6.0942,0.7492,-2.1000,-24.9200,-5.8800,-0.0718,-0.8521,-0.2011,0
1307432,-7.2551,-6.3264,0.7971,2.1000,-31.5700,-6.5100,0.0718,-1.0795,-0.2226,0
1307471,-7.4203,-6.1110,1.0771,-12.6000,-36.7500,-6.3700,-0.4309,-1.2567,-0.2178,0
1307510,-7.1642,-6.4150,1.1322,-4.2700,-37.5900,-9.5900,-0.1460,-1.2854,-0.3279,0
1307549,-7.1857,-6.4126,1.0987,-9.8000,-29.0500,-20.0900,-0.3351,-0.9934,-0.6870,0
1307588,-6.9128,-6.4126,1.4314,-7.0000,-26.5300,-16.7300,-0.2394,-0.9072,-0.5721,0
1307627,-6.8769,-6.7501,1.7234,-18.5500,-34.3000,-12.0400,-0.6343,-1.1729,-0.4117,0
1307666,-6.9440,-6.6543,1.9915,-26.4600,-32.6900,-11.5500,-0.9048,-1.1178,-0.3950,0
1307705,-6.8195,-6.8003,1.6372,-25.0600,-35.2100,16.0300,-0.8569,-1.2040,0.5481,0
1307744,-6.9416,-6.6806,1.7976,-7.3500,-45.3600,6.8600,-0.2513,-1.5511,0.2346,0
1307783,-6.7549,-6.7788,2.4343,-7.8400,-47.8100,-1.0500,-0.2681,-1.6349,-0.0359,0
1307822,-7.0636,-6.8626,2.5923,-13.9300,-39.7600,-5.1800,-0.4763,-1.3596,-0.1771,0
1307861,-6.6878,-6.8937,2.6162,-8.4000,-35.1400,-0.4900,-0.2872,-1.2016,-0.0168,0
1307900,-6.5490,-6.7525,2.6593,-3.0800,-30.2400,0.9800,-0.1053,-1.0341,0.0335,0
1307939,-6.5777,-6.9631,2.8197,-4.4100,-23.6600,0.8400,-0.1508,-0.8091,0.0287,0
1307978,-6.8458,-6.9799,2.2764,10.4300,-13.7900,-3.6400,0.3567,-0.4715,-0.1245,0
1308017,-6.2642,-6.6160,3.3056,35.3500,-3.7800,-22.7500,1.2088,-0.1293,-0.7779,0
