timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
130929,9.6248,-0.4739,0.4668,-5.5300,8.8200,6.1600,-0.1891,0.3016,0.2106,0
130968,9.9743,-0.8617,0.9886,-8.9600,17.9900,6.7900,-0.3064,0.6152,0.2322,0
131007,10.2591,-1.3500,1.2591,3.0800,0.9800,3.0800,0.1053,0.0335,0.1053,0
131046,10.2113,-1.2710,0.6702,24.0800,-8.4700,-0.6300,0.8234,-0.2896,-0.0215,0
131085,10.1730,-0.7947,0.4237,22.9600,0.7000,2.0300,0.7851,0.0239,0.0694,0
131124,10.2304,-0.6965,0.3519,15.8200,5.3200,1.1900,0.5410,0.1819,0.0407,0
131163,10.0844,-0.8402,0.6726,9.0300,0.9800,-3.4300,0.3088,0.0335,-0.1173,0
131202,9.9073,-0.9383,0.7971,5.5300,-2.8000,-5.4600,0.1891,-0.0957,-0.1867,0
131241,9.8259,-0.7708,0.9048,4.5500,-2.8000,-2.8000,0.1556,-0.0957,-0.0957,0
131280,10.0270,-0.8258,0.8593,8.7500,0.4900,2.0300,0.2992,0.0168,0.0694,0
131319,10.1849,-0.8713,0.6271,10.5700,0.9100,2.6600,0.3614,0.0311,0.0910,0
131358,9.9288,-0.7755,0.6774,3.4300,0.9800,0.2800,0.1173,0.0335,0.0096,0
131397,9.4573,-0.6223,0.7277,-1.4700,0.0000,0.9100,-0.0503,0.0000,0.0311,0
131436,9.4477,-0.7660,0.5793,-3.2900,-1.6100,1.2600,-0.1125,-0.0551,0.0431,0
131475,9.5028,-0.9335,0.6822,-5.0400,-3.4300,2.3100,-0.1723,-0.1173,0.0790,0
131514,9.8403,-0.9981,0.7492,-4.9700,-2.7300,3.5700,-0.1699,-0.0934,0.1221,0
131553,10.1778,-0.9742,0.6271,-2.0300,-1.3300,4.8300,-0.0694,-0.0455,0.1652,0
131592,10.4674,-1.1059,0.8569,-2.9400,4.2700,5.6700,-0.1005,0.1460,0.1939,0
131631,10.3094,-0.9263,1.0173,-2.5900,9.1700,4.0600,-0.0886,0.3136,0.1388,0
131670,10.0222,-0.6391,0.7564,1.6100,10.8500,1.9600,0.0551,0.3710,0.0670,0
131709,9.8043,-0.6008,0.6128,-0.8400,6.0200,0.7000,-0.0287,0.2059,0.0239,0
131748,9.6607,-0.5793,0.8473,-8.8200,1.4700,1.4000,-0.3016,0.0503,0.0479,0
131787,9.6033,-0.7612,0.9144,-10.7800,-3.7100,-1.1200,-0.3686,-0.1269,-0.0383,0
131826,9.7589,-0.9407,0.8928,-7.8400,-3.7100,-0.8400,-0.2681,-0.1269,-0.0287,0
131865,10.0700,-1.1968,0.8833,-5.1100,2.1700,0.2800,-0.1747,0.0742,0.0096,0
131904,9.9575,-1.2591,0.8091,-2.9400,6.7200,1.5400,-0.1005,0.2298,0.0527,0
131943,10.0246,-1.1370,1.0867,-3.5700,8.7500,2.8000,-0.1221,0.2992,0.0957,0
131982,10.4435,-1.1801,1.0341,-1.6100,4.5500,1.8200,-0.0551,0.1556,0.0622,0
132021,10.1849,-1.1489,0.8378,3.5000,2.5900,-1.8200,0.1197,0.0886,-0.0622,0
132060,9.7565,-0.8521,1.0915,1.5400,0.2800,-1.8900,0.0527,0.0096,-0.0646,0
132099,9.8570,-0.7875,1.0795,1.6100,-0.8400,1.6800,0.0551,-0.0287,0.0574,0
132138,9.9815,-0.8282,1.1298,-0.1400,-1.6100,1.7500,-0.0048,-0.0551,0.0598,0
132177,9.7565,-0.8019,1.0173,-2.8700,-1.2600,0.9800,-0.0981,-0.0431,0.0335,0
132216,9.6320,-0.8569,0.9527,-6.2300,-0.0700,3.9900,-0.2130,-0.0024,0.1364,0
132255,9.6823,-1.2040,1.0508,-7.7000,-0.3500,2.5200,-0.2633,-0.0120,0.0862,0
132294,9.8187,-1.2878,1.1561,-7.0700,0.2800,-0.0700,-0.2418,0.0096,-0.0024,0
132333,9.8857,-1.2016,1.1226,-3.2900,1.1200,-1.3300,-0.1125,0.0383,-0.0455,0
132372,9.8833,-1.2519,0.9934,0.7700,1.5400,-1.5400,0.0263,0.0527,-0.0527,0
132411,9.9001,-1.2160,1.0101,0.0700,2.4500,1.4000,0.0024,0.0838,0.0479,0
132450,9.9528,-1.0700,1.1489,0.2100,2.6600,2.8000,0.0072,0.0910,0.0957,0
132489,10.0198,-1.0460,1.1753,0.1400,0.8400,2.0300,0.0048,0.0287,0.0694,0
132528,10.0868,-0.9311,1.0580,-0.6300,-2.0300,2.4500,-0.0215,-0.0694,0.0838,0
132567,9.9001,-0.9814,1.0436,-3.4300,-3.9200,3.2200,-0.1173,-0.1340,0.1101,0
132606,9.7373,-1.2926,0.9981,-5.8100,-2.0300,3.3600,-0.1987,-0.0694,0.1149,0
132645,9.6129,-1.4099,1.0556,-6.1600,-1.8200,1.6100,-0.2106,-0.0622,0.0551,0
132684,9.6847,-1.3428,0.9646,-4.2000,-0.4200,0.4200,-0.1436,-0.0144,0.0144,0
132723,9.7565,-1.3045,1.1681,-3.7100,0.8400,-0.9800,-0.1269,0.0287,-0.0335,0
132762,9.9623,-1.1130,1.2997,-3.0100,3.2900,-1.4000,-0.1029,0.1125,-0.0479,0
132801,9.9145,-1.0221,1.0987,-1.8900,4.4100,-3.0100,-0.0646,0.1508,-0.1029,0
132840,9.9025,-1.1250,0.9598,-1.5400,2.1000,-2.1000,-0.0527,0.0718,-0.0718,0
132879,10.2544,-1.2974,1.3309,-6.1600,1.4000,0.4900,-0.2106,0.0479,0.0168,0
132918,9.8379,-1.1274,1.2447,-4.5500,2.1700,-1.1200,-0.1556,0.0742,-0.0383,0
132957,9.6176,-1.0221,1.0795,-0.5600,0.1400,-3.0100,-0.0191,0.0048,-0.1029,0
132996,9.4716,-0.9383,0.9359,-1.3300,0.2800,-2.4500,-0.0455,0.0096,-0.0838,0
133035,9.4190,-1.1202,1.0771,-5.0400,0.0700,-2.8000,-0.1723,0.0024,-0.0957,0
133074,9.4692,-1.3452,1.1944,-7.0000,0.2800,-3.0100,-0.2394,0.0096,-0.1029,0
133113,9.7565,-1.3285,1.3931,-1.3300,-2.3800,0.4900,-0.0455,-0.0814,0.0168,0
133152,10.3573,-1.2974,1.0245,5.2500,-0.2800,1.0500,0.1795,-0.0096,0.0359,0
133191,10.1706,-1.0460,1.1729,4.2700,1.6800,0.2100,0.1460,0.0574,0.0072,0
133230,9.9719,-1.0005,1.0915,5.8800,2.4500,0.4900,0.2011,0.0838,0.0168,0
