timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
318,6.4221,5.2612,5.4671,1.0500,0.5600,0.2800,0.0359,0.0191,0.0096,0
357,6.2857,5.3139,5.4431,0.9800,1.1200,0.7000,0.0335,0.0383,0.0239,0
19077,7.2503,6.0870,3.2984,-65.8700,-48.7900,-65.4500,-2.2524,-1.6684,-2.2381,0
19116,7.6668,5.7711,2.5420,-72.5200,-59.5700,-65.1700,-2.4798,-2.0370,-2.2285,0
19155,7.8104,6.5394,3.2984,-78.8200,-61.1800,-62.5100,-2.6952,-2.0920,-2.1375,0
19194,7.7626,7.1977,3.6096,-93.3800,-58.3800,-60.5500,-3.1931,-1.9963,-2.0705,0
19233,7.9756,7.0588,2.7192,-100.2400,-62.5800,-56.2800,-3.4277,-2.1399,-1.9245,0
19272,7.9277,6.5418,2.8341,-98.7700,-60.1300,-56.0700,-3.3774,-2.0561,-1.9173,0
19311,7.0301,6.2929,4.1195,-93.4500,-46.9000,-56.5600,-3.1955,-1.6037,-1.9341,0
19350,4.7346,4.7729,4.7466,-67.9700,-47.0400,-48.5800,-2.3242,-1.6085,-1.6612,0
19389,4.6389,5.1104,5.4431,-51.5900,-43.2600,-43.1900,-1.7641,-1.4793,-1.4769,0
19428,4.8016,6.3982,5.8189,-39.2000,-42.0700,-42.1400,-1.3404,-1.4386,-1.4410,0
19467,4.6939,6.9655,5.2636,-17.3600,-37.5900,-36.4000,-0.5936,-1.2854,-1.2447,0
19506,4.8998,6.6615,4.5719,-23.1000,-34.7200,-33.1100,-0.7899,-1.1872,-1.1322,0
19545,4.7992,7.3389,5.1128,-16.5900,-53.0600,-30.4500,-0.5673,-1.8144,-1.0412,0
19584,4.2152,7.3700,5.3570,-15.5400,-59.7100,-29.2600,-0.5314,-2.0418,-1.0005,0
19623,4.3612,7.2934,4.9955,-29.6100,-62.9300,-25.0600,-1.0125,-2.1519,-0.8569,0
19662,5.1487,6.2211,4.8088,-41.3000,-54.6700,-20.0200,-1.4122,-1.8694,-0.6846,0
19701,5.8261,5.8357,5.2732,-38.5000,-43.7500,-14.9100,-1.3165,-1.4960,-0.5098,0
19740,7.1737,5.8907,4.6484,-33.3900,-33.9500,-14.4200,-1.1418,-1.1609,-0.4931,0
19779,7.0182,6.1253,4.8735,-16.3800,-27.5800,-5.3900,-0.5601,-0.9431,-0.1843,0
19818,7.3844,6.9463,5.8764,5.1800,-5.0400,-4.6200,0.1771,-0.1723,-0.1580,0
19857,7.1809,6.0607,3.9351,1.6100,10.5700,-6.6500,0.0551,0.3614,-0.2274,0
19896,6.4437,5.7112,3.0495,6.5800,11.2000,-0.4900,0.2250,0.3830,-0.0168,0
19935,6.9655,6.1277,2.9059,7.4900,16.2400,2.9400,0.2561,0.5553,0.1005,0
19974,6.3767,5.8764,2.0513,7.7000,22.1900,7.2100,0.2633,0.7588,0.2465,0
20013,7.1354,8.2748,4.3828,8.1200,48.7200,5.6700,0.2777,1.6660,0.1939,0
20052,7.9804,9.9169,3.4349,-17.4300,83.7200,-11.9700,-0.5960,2.8628,-0.4093,0
20091,5.1655,9.0336,5.9530,-42.1400,36.1200,-15.8900,-1.4410,1.2351,-0.5434,0
20130,4.6054,6.6208,8.1958,-28.2100,12.0400,-51.8700,-0.9646,0.4117,-1.7737,0
20169,5.2947,5.4264,6.9679,-51.3100,62.7900,-50.8200,-1.7545,2.1471,-1.7378,0
20208,4.7514,3.9854,6.0703,-35.2100,32.5500,-52.6400,-1.2040,1.1130,-1.8000,0
20247,3.0663,5.2899,6.9583,-19.1100,39.6900,-51.3100,-0.6535,1.3572,-1.7545,0
20286,2.6402,5.6418,7.1139,-13.4400,38.5000,-52.9200,-0.4596,1.3165,-1.8096,0
20325,2.3362,6.1110,7.2575,-24.0800,30.6600,-46.2000,-0.8234,1.0484,-1.5798,0
20364,2.2404,6.4030,7.1857,-21.8400,14.2100,-33.3200,-0.7468,0.4859,-1.1394,0
20403,2.1806,6.3479,6.6902,-10.7800,5.8800,-21.2800,-0.3686,0.2011,-0.7277,0
20442,1.5942,4.6245,6.3767,-1.3300,-2.7300,-17.1500,-0.0455,-0.0934,-0.5864,0
20481,1.7258,4.5383,6.4820,13.9300,-11.9700,-12.6700,0.4763,-0.4093,-0.4332,0
20520,1.8383,4.6724,6.9152,27.9300,-4.7600,-1.4700,0.9551,-0.1628,-0.0503,0
20559,2.4104,5.8836,6.6495,19.6700,9.7300,16.1700,0.6726,0.3327,0.5529,0
20598,2.3482,7.1187,5.5724,0.7000,19.9500,22.6800,0.0239,0.6822,0.7755,0
20637,3.0567,8.4448,7.7458,-10.0100,21.8400,9.4500,-0.3423,0.7468,0.3231,0
20676,2.4726,6.2665,7.3844,-2.6600,-18.6200,-7.7000,-0.0910,-0.6367,-0.2633,0
20715,2.6258,6.3838,7.5065,-0.9100,-2.3800,-9.7300,-0.0311,-0.0814,-0.3327,0
20754,2.4966,4.8782,6.5059,4.2700,-7.1400,-4.0600,0.1460,-0.2442,-0.1388,0
20793,1.1920,5.5102,6.7189,13.0900,-4.0600,-4.6200,0.4476,-0.1388,-0.1580,0
20832,1.4410,6.2330,6.3575,20.4400,0.3500,-0.5600,0.6989,0.0120,-0.0191,0
20871,1.5607,5.1583,5.4934,11.4800,10.2900,7.4200,0.3926,0.3519,0.2537,0
20910,1.8407,6.1205,5.2995,5.0400,14.0700,3.8500,0.1723,0.4811,0.1317,0
20949,1.4410,5.4623,6.3025,4.4800,11.5500,0.4200,0.1532,0.3950,0.0144,0
20988,2.2165,4.4857,8.3993,-16.8700,-14.7000,7.4200,-0.5769,-0.5027,0.2537,0
21027,3.9184,10.4482,9.7373,5.6000,-3.7800,31.4300,0.1915,-0.1293,1.0747,0
