timestamp_ms,waist_x,waist_y,waist_z,waist_gx,waist_gy,waist_gz,thigh_x,thigh_y,thigh_z,event_flag
318,-3.4708,-8.8445,-2.3123,-0.5600,0.0700,0.2800,-0.0191,0.0024,0.0096,0
357,-3.5593,-8.8062,-2.2045,-0.4200,-0.5600,0.2100,-0.0144,-0.0191,0.0072,0
41424,6.6639,-7.1546,0.3830,-12.0400,8.3300,-0.0700,-0.4117,0.2848,-0.0024,0
41463,6.6112,-6.9966,-0.4931,-6.0900,10.0100,-1.2600,-0.2082,0.3423,-0.0431,0
41502,6.3360,-6.7908,-0.0742,-9.1000,7.7700,-2.4500,-0.3112,0.2657,-0.0838,0
41541,6.0775,-6.9416,-0.0191,-10.7100,4.1300,-4.3400,-0.3662,0.1412,-0.1484,0
41580,6.3431,-7.2623,0.2394,-7.0700,1.8900,-1.7500,-0.2418,0.0646,-0.0598,0
41619,6.8434,-7.2671,0.1388,-4.0600,1.2600,1.6100,-0.1388,0.0431,0.0551,0
41658,7.1977,-7.2240,-0.0527,0.2800,-3.3600,4.3400,0.0096,-0.1149,0.1484,0
41697,7.3868,-7.4658,-0.3447,-3.9200,-2.7300,9.8000,-0.1340,-0.0934,0.3351,0
41736,7.3868,-8.0019,-0.0431,-4.9700,1.1900,10.1500,-0.1699,0.0407,0.3471,0
41775,7.1737,-7.7195,0.3016,-9.8700,8.2600,4.6200,-0.3375,0.2824,0.1580,0
41814,6.9918,-7.4586,-0.0407,-7.7000,7.5600,-1.2600,-0.2633,0.2585,-0.0431,0
41853,6.4892,-7.4753,-0.1843,-9.1700,7.6300,-2.8000,-0.3136,0.2609,-0.0957,0
41892,6.0966,-7.4586,0.0694,-9.4500,7.4200,-4.4100,-0.3231,0.2537,-0.1508,0
41931,6.3814,-7.0588,0.0766,6.3000,7.0000,-8.0500,0.2154,0.2394,-0.2753,0
41970,6.3934,-7.0947,0.0934,10.8500,5.3900,-11.8300,0.3710,0.1843,-0.4045,0
42009,6.6352,-7.3652,0.4237,15.0500,2.8700,-10.6400,0.5146,0.0981,-0.3638,0
42048,6.6926,-7.0588,0.5051,24.3600,-2.1700,-13.5100,0.8330,-0.0742,-0.4620,0
42087,7.0014,-6.4652,0.1891,28.4900,-5.2500,-14.1400,0.9742,-0.1795,-0.4835,0
42126,7.3509,-6.5346,0.3207,18.9700,-7.4200,-9.5200,0.6487,-0.2537,-0.3255,0
42165,7.5376,-6.8291,0.4309,9.0300,-6.1600,-5.4600,0.3088,-0.2106,-0.1867,0
42204,7.4299,-6.9487,0.4021,9.2400,-1.8900,-7.1400,0.3160,-0.0646,-0.2442,0
42243,7.2479,-6.7620,0.4811,14.8400,-2.0300,-11.0600,0.5075,-0.0694,-0.3782,0
42282,7.2791,-6.4628,0.5984,14.5600,-2.8700,-13.7900,0.4979,-0.0981,-0.4715,0
42321,7.2025,-6.2450,0.4548,14.1400,-7.0700,-11.0600,0.4835,-0.2418,-0.3782,0
